Data,Mwmed_Nordeste,Mwmed_Norte,Mwmed_Sudeste/CO,Mwmed_Sul
1/1/2014,9707.14,5182.91,38704.86,11774.17
2/1/2014,9777.36,5197.88,39819.66,12400.69
3/1/2014,9712.33,5190.22,37542.74,10870.85
4/1/2014,9773.35,5224.98,35486.97,10398.65
5/1/2014,9526.03,5127.94,35309.27,10019.66
6/1/2014,9141.54,4984.8,34120.95,9923.49
7/1/2014,9207.4,4995.03,34146.18,10128.58
8/1/2014,9235.9,5116.61,34537.1,9943.66
9/1/2014,9590.7,5294.31,36110.88,9959.57
10/1/2014,9714.67,5120.88,37053.12,10477.52
11/1/2014,9826.5,5151.17,36280.76,10751.63
12/1/2014,9665.72,5068.56,36171.19,10716.2
1/1/2015,10042.26,4992.72,40467.71,11607.68
2/1/2015,10003.65,5002.3,39133.78,11707.08
3/1/2015,10058.7,5091.45,38210.43,11622.86
4/1/2015,10070.9,5163.63,35811.95,10478.21
5/1/2015,9804.35,5120.86,33218.03,9837.77
6/1/2015,9447.67,5086.5,32475.57,9769.19
7/1/2015,9109.74,5020.2,33015.55,9805.12
8/1/2015,9208.78,5236.49,33889.71,9947.7
9/1/2015,9579.98,5547.03,35495.77,9914.58
10/1/2015,9895.76,5538.57,36630.36,10153.16
11/1/2015,10172.93,5459.61,36322.05,10150.43
12/1/2015,10087.1,5383.42,36608.28,10235.12
1/1/2016,9582.8,5142.32,36556.05,11258.15
2/1/2016,9926.13,5239.37,39524.44,11765.53
3/1/2016,10379.1,5293.72,38455,10942.51
4/1/2016,9747.01,5404.04,37695.7,11066.53
5/1/2016,10059.76,5301.94,33979.38,9965.47
6/1/2016,9808.77,5170.98,33271.71,10614.52
7/1/2016,9553.56,5206.95,33182.6,10130.53
8/1/2016,9669.98,5479,34310.11,10268.24
9/1/2016,9897.17,5447.03,34770.66,10086.56
10/1/2016,10173.71,5461.13,35149.63,10209.84
11/1/2016,10214.08,5581.77,34743.51,10780.68
12/1/2016,10214.78,5234.09,35760.88,11188.53
1/1/2017,10502.29,5077.38,38977.42,11900.66
