Data,Region,Average_Consumption,month,year,Average_Consumption_lag_1,Average_Consumption_lag_12,Average_Consumption_rolling_mean_3
2015-01-01,Sudeste/CO,40467.71,1,2015,36171.19,38704.86,37639.886666666665
2015-01-01,Sul,11607.68,1,2015,10716.2,11774.17,11025.17
2015-01-01,Norte,4992.72,1,2015,5068.56,5182.91,5070.816666666667
2015-01-01,Nordeste,10042.26,1,2015,9665.72,9707.14,9844.826666666666
2015-02-01,Sudeste/CO,39133.78,2,2015,40467.71,39819.66,38590.89333333333
2015-02-01,Sul,11707.08,2,2015,11607.68,12400.69,11343.653333333335
2015-02-01,Norte,5002.3,2,2015,4992.72,5197.88,5021.193333333334
2015-02-01,Nordeste,10003.65,2,2015,10042.26,9777.36,9903.876666666665
2015-03-01,Sul,11622.86,3,2015,11707.08,10870.85,11645.873333333331
2015-03-01,Nordeste,10058.7,3,2015,10003.65,9712.33,10034.87
2015-03-01,Sudeste/CO,38210.43,3,2015,39133.78,37542.74,39270.63999999999
2015-03-01,Norte,5091.45,3,2015,5002.3,5190.22,5028.823333333333
2015-04-01,Nordeste,10070.9,4,2015,10058.7,9773.35,10044.416666666666
2015-04-01,Norte,5163.63,4,2015,5091.45,5224.98,5085.793333333334
2015-04-01,Sudeste/CO,35811.95,4,2015,38210.43,35486.97,37718.72
2015-04-01,Sul,10478.21,4,2015,11622.86,10398.65,11269.383333333331
2015-05-01,Nordeste,9804.35,5,2015,10070.9,9526.03,9977.983333333332
2015-05-01,Norte,5120.86,5,2015,5163.63,5127.94,5125.3133333333335
2015-05-01,Sudeste/CO,33218.03,5,2015,35811.95,35309.27,35746.80333333334
2015-05-01,Sul,9837.77,5,2015,10478.21,10019.66,10646.28
2015-06-01,Sul,9769.19,6,2015,9837.77,9923.49,10028.39
2015-06-01,Nordeste,9447.67,6,2015,9804.35,9141.54,9774.306666666667
2015-06-01,Norte,5086.5,6,2015,5120.86,4984.8,5123.663333333333
2015-06-01,Sudeste/CO,32475.57,6,2015,33218.03,34120.95,33835.183333333334
2015-07-01,Nordeste,9109.74,7,2015,9447.67,9207.4,9453.92
2015-07-01,Sul,9805.12,7,2015,9769.19,10128.58,9804.026666666667
2015-07-01,Norte,5020.2,7,2015,5086.5,4995.03,5075.8533333333335
2015-07-01,Sudeste/CO,33015.55,7,2015,32475.57,34146.18,32903.05
2015-08-01,Norte,5236.49,8,2015,5020.2,5116.61,5114.3966666666665
2015-08-01,Nordeste,9208.78,8,2015,9109.74,9235.9,9255.396666666667
2015-08-01,Sul,9947.7,8,2015,9805.12,9943.66,9840.67
