id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;01/01/2000 00:00:00;2.243,51250000
NE;Nordeste;01/01/2000 00:00:00;4.646,37083333
S;Sul;01/01/2000 00:00:00;4.800,65000000
SE;Sudeste/Centro-Oeste;01/01/2000 00:00:00;19.045,99583333
N;Norte;02/01/2000 00:00:00;2.259,80833333
NE;Nordeste;02/01/2000 00:00:00;4.895,72083333
S;Sul;02/01/2000 00:00:00;4.899,80000000
SE;Sudeste/Centro-Oeste;02/01/2000 00:00:00;19.398,02500000
N;Norte;03/01/2000 00:00:00;2.407,42916667
NE;Nordeste;03/01/2000 00:00:00;5.736,00833333
S;Sul;03/01/2000 00:00:00;6.261,55416667
SE;Sudeste/Centro-Oeste;03/01/2000 00:00:00;23.061,74583333
N;Norte;04/01/2000 00:00:00;2.404,21666667
NE;Nordeste;04/01/2000 00:00:00;5.783,77083333
S;Sul;04/01/2000 00:00:00;6.733,74166667
SE;Sudeste/Centro-Oeste;04/01/2000 00:00:00;24.228,24166667
N;Norte;05/01/2000 00:00:00;2.439,65000000
NE;Nordeste;05/01/2000 00:00:00;5.753,12083333
S;Sul;05/01/2000 00:00:00;6.961,17083333
SE;Sudeste/Centro-Oeste;05/01/2000 00:00:00;24.807,93750000
N;Norte;06/01/2000 00:00:00;2.426,68333333
NE;Nordeste;06/01/2000 00:00:00;5.802,94166667
S;Sul;06/01/2000 00:00:00;7.110,36250000
SE;Sudeste/Centro-Oeste;06/01/2000 00:00:00;25.334,64583333
N;Norte;07/01/2000 00:00:00;2.430,90833333
NE;Nordeste;07/01/2000 00:00:00;5.658,54166667
S;Sul;07/01/2000 00:00:00;7.105,35416667
SE;Sudeste/Centro-Oeste;07/01/2000 00:00:00;25.410,19166667
N;Norte;08/01/2000 00:00:00;2.286,35000000
NE;Nordeste;08/01/2000 00:00:00;5.394,37500000
S;Sul;08/01/2000 00:00:00;6.307,48750000
SE;Sudeste/Centro-Oeste;08/01/2000 00:00:00;22.866,17500000
N;Norte;09/01/2000 00:00:00;2.242,66666667
NE;Nordeste;09/01/2000 00:00:00;4.931,13333333
S;Sul;09/01/2000 00:00:00;5.523,62083333
SE;Sudeste/Centro-Oeste;09/01/2000 00:00:00;20.849,18750000
