ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
1;NORDESTE;jan/00;5.666,03
2;NORTE;jan/00;2.397,64
3;SUDESTE/CO;jan/00;24.463,19
4;SUL;jan/00;6.726,54
5;NORDESTE;fev/00;5.780,17
6;NORTE;fev/00;2.409,04
7;SUDESTE/CO;fev/00;25.588,79
8;SUL;fev/00;6.887,40
9;NORDESTE;mar/00;5.839,95
10;NORTE;mar/00;2.407,97
11;SUDESTE/CO;mar/00;25.470,86
12;SUL;mar/00;6.837,29
13;NORDESTE;abr/00;5.766,37
14;NORTE;abr/00;2.417,57
15;SUDESTE/CO;abr/00;25.352,03
16;SUL;abr/00;6.678,98
17;NORDESTE;mai/00;5.839,98
18;NORTE;mai/00;2.461,80
19;SUDESTE/CO;mai/00;25.457,52
20;SUL;mai/00;6.649,09
21;NORDESTE;jun/00;5.697,51
22;NORTE;jun/00;2.487,27
23;SUDESTE/CO;jun/00;25.655,76
24;SUL;jun/00;6.704,43
25;NORDESTE;jul/00;5.633,05
26;NORTE;jul/00;2.441,67
27;SUDESTE/CO;jul/00;25.300,00
28;SUL;jul/00;6.590,13
29;NORDESTE;ago/00;5.783,96
30;NORTE;ago/00;2.564,47
31;SUDESTE/CO;ago/00;26.006,39
32;SUL;ago/00;6.719,18
33;NORDESTE;set/00;5.882,01
34;NORTE;set/00;2.586,58
35;SUDESTE/CO;set/00;26.045,45
36;SUL;set/00;6.561,04
37;NORDESTE;out/00;6.149,07
38;NORTE;out/00;2.565,32
39;SUDESTE/CO;out/00;27.077,48
40;SUL;out/00;6.765,58
41;NORDESTE;nov/00;6.221,26
42;NORTE;nov/00;2.562,27
43;SUDESTE/CO;nov/00;26.253,36
44;SUL;nov/00;6.825,50
45;NORDESTE;dez/00;6.093,44
46;NORTE;dez/00;2.540,15
47;SUDESTE/CO;dez/00;26.041,56
48;SUL;dez/00;6.894,45
49;NORDESTE;jan/01;6.098,42
50;NORTE;jan/01;2.521,86
51;SUDESTE/CO;jan/01;26.625,98
52;SUL;jan/01;7.218,12
53;NORDESTE;fev/01;6.243,73
54;NORTE;fev/01;2.508,25
55;SUDESTE/CO;fev/01;27.539,33
56;SUL;fev/01;7.470,30
57;NORDESTE;mar/01;6.186,36
58;NORTE;mar/01;2.523,30
59;SUDESTE/CO;mar/01;27.824,66
60;SUL;mar/01;7.737,79
61;NORDESTE;abr/01;5.970,96
62;NORTE;abr/01;2.543,35
63;SUDESTE/CO;abr/01;27.213,96
64;SUL;abr/01;7.160,87
65;NORDESTE;mai/01;5.881,93
66;NORTE;mai/01;2.607,19
67;SUDESTE/CO;mai/01;25.055,14
68;SUL;mai/01;6.742,81
69;NORDESTE;jun/01;4.546,77
70;NORTE;jun/01;2.539,35
71;SUDESTE/CO;jun/01;20.512,82
72;SUL;jun/01;6.417,52
73;NORDESTE;jul/01;4.472,27
74;NORTE;jul/01;2.220,61
75;SUDESTE/CO;jul/01;19.852,43
76;SUL;jul/01;6.399,32
77;NORDESTE;ago/01;4.596,13
78;NORTE;ago/01;2.150,64
79;SUDESTE/CO;ago/01;20.395,29
80;SUL;ago/01;6.667,85
81;NORDESTE;set/01;4.753,09
82;NORTE;set/01;2.065,40
83;SUDESTE/CO;set/01;20.646,84
84;SUL;set/01;6.430,79
85;NORDESTE;out/01;4.888,57
86;NORTE;out/01;2.095,14
87;SUDESTE/CO;out/01;20.952,32
